,complex-name,gb-complex-etot,gb-complex-1-4-eel,gb-complex-eelec,gb-complex-egb,gb-complex-esurf,gb-protein-etot,gb-protein-1-4-eel,gb-protein-eelect,gb-protein-egb,gb-protein-esurf,gb-ligand-etot,gb-ligand-1-4-eel,gb-ligand-eelec,gb-ligand-egb,gb-ligand-esurf,pb-complex-etot,pb-complex-vdwaals,pb-complex-eelect,pb-complex-epb,pb-complex-ecavity,pb-protein-etot,pb-protein-vdwaals,pb-protein-eelec,pb-protein-epb,pb-protein-ecavity,pb-ligand-etot,pb-ligand-vdwaals,pb-ligand-eelec,pb-ligand-epb,pb-ligand-ecavity,ddg,enthalpy-gb,entropy
63,1bai,-10443.8628,9167.6123,-16740.1849,-2931.5896,60.2994,-10391.4008,8620.0662,-16029.9922,-3044.0456,62.5709,-260.4086,547.5462,-548.0456,-266.2277,6.3185,-21825.7356,-2240.3492,-16740.1849,-2905.5009,60.2994,-21130.3726,-2134.65,-16029.9922,-3028.3012,62.5709,-830.2545,-26.7787,-548.0456,-261.7487,6.3185,-10.63794313,129.026099999997,139.664043129997
64,1bcd,-9218.7987,13166.7268,-19705.6097,-2738.3752,58.4594,-9329.5877,12995.0765,-19700.1738,-2683.2124,58.722,43.7719,171.6503,-54.5645,-74.5731,1.2592,-24820.7972,-2492.9912,-19705.6097,-2680.6556,58.4594,-24752.7609,-2474.8299,-19700.1738,-2636.4792,58.722,-124.9623,-0.0448,-54.5645,-71.6121,1.2592,-12.01949419,48.9006000000009,60.9200941900009
65,1bcu,-10507.9532,9850.1029,-16804.4889,-3614.918,61.3508,-10371.5958,10098.0947,-16831.4821,-3699.8624,61.654,-143.7985,-247.9918,152.6476,-50.6196,2.1652,-19598.3634,726.1147,-16804.4889,-3581.34,61.3508,-19674.9058,761.4389,-16831.4821,-3666.5166,61.654,101.6363,-2.1414,152.6476,-51.0351,2.1652,-4.531487463,-25.7417000000005,-21.2102125370005
66,1bdq,-6850.2431,8765.9065,-13425.4984,-2239.1115,48.4603,-6842.8185,8803.9503,-13445.1068,-2252.1419,50.4799,-128.9867,-38.0438,-17.6078,-77.6274,4.2923,-17340.221,-1752.4207,-13425.4984,-2210.7621,48.4603,-17277.1772,-1663.6369,-13445.1068,-2218.9134,50.4799,-108.7216,-16.0724,-17.6078,-79.3337,4.2923,-8.759033694,48.8507000000009,57.6097336940009
67,1bgq,-17729.6268,18343.6548,-29934.1699,-6234.3375,95.2258,-17634.3989,18576.3057,-30041.0161,-6265.7861,96.0976,-120.039,-232.6509,143.2893,-33.3642,2.6869,-40175.575,-4129.6041,-29934.1699,-6207.0268,95.2258,-40268.0527,-4086.2667,-30041.0161,-6236.8675,96.0976,109.656,-2.2318,143.2893,-34.0883,2.6869,-11.83989255,-16.2945,-4.45460744999997
68,1bhf,-5237.8906,3612.8764,-7396.4947,-1487.3222,33.0499,-4879.1821,3242.9336,-6736.4203,-1418.7262,33.0307,-370.412,369.9428,-190.2658,-555.0573,4.9683,-9816.042,-974.8864,-7396.4947,-1477.7109,33.0499,-9016.774,-907.0252,-6736.4203,-1406.3592,33.0307,-747.2365,-14.4661,-190.2658,-547.4729,4.9683,-6.051193624,-41.6916000000001,-35.6404063760001
69,1bhx,-10344.4716,9548.2465,-16400.0191,-3550.9431,58.2441,-10120.4736,9613.9654,-16229.5382,-3563.4917,58.5909,-228.7952,-65.7189,-78.0108,-88.8031,3.7377,-18940.4666,908.0305,-16400.0191,-3506.7222,58.2441,-18722.958,968.9991,-16229.5382,-3521.0099,58.5909,-170.7281,-9.4563,-78.0108,-86.9986,3.7377,-9.449809222,-46.7150999999994,-37.2652907779994
70,1bju,-6760.7927,10861.4858,-15632.1587,-2035.5836,45.4638,-6586.5969,11135.253,-15786.1633,-1981.5357,45.8491,-182.7608,-273.7671,154.6369,-66.3523,2.7218,-14764.9562,2872.1608,-15632.1587,-2050.4221,45.4638,-14821.9822,2912.6941,-15786.1633,-1994.3622,45.8491,90.2896,-0.5263,154.6369,-66.5427,2.7218,-6.631445068,-31.4420000000005,-24.8105549320005
71,1bjv,-6664.8269,10971.0904,-15456.974,-2225.477,46.5337,-6488.4216,11241.2093,-15655.485,-2120.8318,46.6858,-188.3574,-270.1189,146.9592,-68.5318,3.3341,-14740.1238,2906.7031,-15456.974,-2236.3867,46.5337,-14791.378,2950.3661,-15655.485,-2132.9449,46.6858,79.4794,-1.8338,146.9592,-68.9801,3.3341,-7.653792849,-29.8771000000002,-22.2233071510002
72,1bm7,-15374.9911,22199.1617,-31106.0129,-6557.1471,89.0073,-15286.655,22269.3569,-31227.9452,-6417.9024,89.8357,-96.905,-70.1953,43.1886,-72.2692,2.3708,-41808.336,-4280.4426,-31106.0129,-6510.8878,89.0073,-41756.8818,-4248.7723,-31227.9452,-6370.0,89.8357,-23.517,1.5224,43.1886,-70.5988,2.3708,-10.38926394,-24.6238000000012,-14.2345360600012
73,1bma,-9203.0219,8504.5643,-15806.0651,-1954.6314,53.1103,-9270.8529,8375.4742,-15800.9895,-1899.1251,53.7874,44.9488,129.0902,-24.6932,-63.6716,4.2235,-16796.8386,917.6974,-15806.0651,-1961.5812,53.1103,-16669.2867,987.2949,-15800.9895,-1909.3796,53.7874,-94.2376,-10.389,-24.6932,-63.379,4.2235,-6.341319346,-36.3263000000006,-29.9849806540006
74,1bn1,-9565.227,12456.4232,-19544.3439,-2535.4842,58.1779,-9218.4449,12929.7069,-19648.2809,-2558.4235,58.5527,-386.8347,-473.2837,121.746,-38.1234,2.8263,-24510.5246,-2534.3427,-19544.3439,-2490.0159,58.1779,-24602.4007,-2497.6071,-19648.2809,-2515.0652,58.5527,83.0315,-3.1485,121.746,-38.3923,2.8263,-12.90368686,6.46550000000025,19.3691868600002
75,1bn3,-9571.1296,12469.2292,-19512.5059,-2585.9174,58.0646,-9251.3977,12993.5239,-19696.2672,-2607.0768,58.4223,-355.1789,-524.2947,204.0149,-37.7842,2.885,-24502.758,-2511.414,-19512.5059,-2536.9026,58.0646,-24672.1598,-2474.2134,-19696.2672,-2560.1015,58.4223,166.9685,-3.2053,204.0149,-36.7261,2.885,-13.66353994,1.45169999999962,15.1152399399996
76,1bn4,-9582.6111,12444.3199,-19466.1657,-2619.0776,58.3123,-9230.7947,12922.4201,-19568.4669,-2643.3896,58.6417,-395.1147,-478.1001,120.0286,-39.9568,2.9137,-24508.8233,-2528.9313,-19466.1657,-2572.0386,58.3123,-24602.5458,-2494.4568,-19568.4669,-2598.2639,58.6417,81.0823,-2.4928,120.0286,-39.3671,2.9137,-12.86224033,11.3166000000001,24.1788403300001
77,1bnn,-9627.0205,12439.1872,-19451.4653,-2672.6155,57.8731,-9288.8437,12985.6895,-19640.1198,-2692.7622,58.3488,-373.8975,-546.5023,208.3161,-38.5989,2.8876,-24526.5462,-2511.4715,-19451.4653,-2621.4825,57.8731,-24697.9958,-2472.4501,-19640.1198,-2643.7747,58.3488,169.3344,-3.9179,208.3161,-37.9514,2.8876,-13.81551056,0.617199999998775,14.4327105599988
78,1bnq,-9475.4179,12549.5173,-19410.9733,-2671.0961,57.1342,-9182.9141,12881.0715,-19434.7844,-2687.1594,57.9582,-348.1948,-331.5542,84.3627,-103.96,2.9567,-24494.8155,-2520.478,-19410.9733,-2620.4983,57.1342,-24490.2176,-2472.7283,-19434.7844,-2640.6631,57.9582,-19.8675,-6.1269,84.3627,-101.06,2.9567,-13.11091952,14.0682000000015,27.1791195200015
79,1bnt,-9482.9052,12516.3012,-19399.0519,-2656.8532,56.6987,-9202.9182,12888.104,-19463.8997,-2684.1787,57.0562,-329.7717,-371.8028,83.0804,-43.9618,2.9125,-24469.059,-2514.3204,-19399.0519,-2612.3853,56.6987,-24521.7623,-2475.4975,-19463.8997,-2639.4214,57.0562,38.8703,-3.9676,83.0804,-43.155,2.9125,-13.53920035,14.9293999999991,28.4686003499991
80,1bnu,-9468.135,12566.3179,-19461.7487,-2629.1476,56.4434,-9189.4229,12927.1891,-19509.1254,-2664.5449,57.0584,-335.8689,-360.8712,64.8992,-42.6366,2.7396,-24505.4866,-2511.8891,-19461.7487,-2588.2922,56.4434,-24544.9729,-2472.4538,-19509.1254,-2620.4522,57.0584,22.2755,-3.6286,64.8992,-41.7347,2.7396,-13.40104524,21.3500999999978,34.7511452399978
81,1bnv,-9561.053,12535.1573,-19477.127,-2676.8405,57.7573,-9245.1165,12943.67,-19582.7268,-2664.5005,58.4408,-364.6222,-408.5128,134.4649,-93.6474,3.0731,-24557.9619,-2506.78,-19477.127,-2631.8122,57.7573,-24611.0153,-2460.9397,-19582.7268,-2625.7896,58.4408,40.1014,-6.1996,134.4649,-91.237,3.0731,-12.11620276,9.04499999999825,21.1612027599983
82,1bnw,-9536.8342,12413.0954,-19322.6333,-2684.2698,56.9734,-9196.4229,12902.3231,-19442.3405,-2713.7618,57.3563,-389.0958,-489.2276,135.3833,-37.8721,2.6206,-24397.6034,-2496.3695,-19322.6333,-2635.5739,56.9734,-24511.878,-2461.0842,-19442.3405,-2665.8096,57.3563,99.3949,-2.4573,135.3833,-36.1517,2.6206,-12.54448359,15.8564999999999,28.4009835899999
83,1bp0,-23132.3028,30107.5198,-43347.046,-10024.1682,131.3916,-22745.8616,30596.7781,-43422.2924,-10052.2879,131.9406,-414.3873,-489.2583,126.7604,-54.3144,2.425,-59516.8583,-6380.8947,-43347.046,-9920.3091,131.3916,-59592.1301,-6349.6872,-43422.2924,-9952.0911,131.9406,73.4778,-2.5799,126.7604,-53.1276,2.425,-7.460375701,-0.681500000002416,6.77887570099758
84,1bq4,-37543.2361,42375.3225,-68857.662,-11240.7635,179.8669,-37153.2113,41852.1481,-67701.583,-11484.5922,180.8158,-445.1674,523.1744,29.8455,-1000.4879,2.3006,-88960.3712,-9423.2825,-68857.662,-10859.2936,179.8669,-87985.2709,-9393.3415,-67701.583,-11071.1621,180.8158,-958.6182,-5.8105,29.8455,-984.9538,2.3006,-7.211696511,31.0120999999999,38.2237965109999
85,1br6,-11904.3974,7533.9042,-16934.6961,-2567.9047,64.2992,-11609.6585,7927.3581,-17137.5587,-2464.1739,64.716,-358.1279,-393.4538,242.4671,-209.7851,2.644,-21959.5012,-2520.5029,-16934.6961,-2568.6014,64.2992,-22018.0069,-2475.6541,-17137.5587,-2469.5101,64.716,33.979,-4.1966,242.4671,-206.9355,2.644,-4.4485944,22.7368000000006,27.1853944000006
86,1bty,-6378.6095,11272.3482,-15666.0353,-2031.1573,46.2349,-6302.2145,11344.8499,-15686.8063,-2006.9068,46.6488,-71.5255,-72.5017,56.1107,-56.7198,1.5853,-14731.8145,2930.5779,-15666.0353,-2042.5919,46.2349,-14705.5216,2955.5279,-15686.8063,-2020.8919,46.6488,0.9968,-0.4165,56.1107,-56.2827,1.5853,-6.548552004,-29.4029999999993,-22.8544479959993
87,1bv7,-7166.7829,8625.1847,-14051.5146,-1787.609,47.156,-7036.6379,8764.9785,-13952.3544,-1898.3873,49.1252,-215.7892,-139.7938,-27.3342,-54.0151,5.3539,-17607.2958,-1825.6221,-14051.5146,-1777.3151,47.156,-17503.2056,-1715.4155,-13952.3544,-1884.5609,49.1252,-93.157,-15.6269,-27.3342,-55.5498,5.3539,-14.22997587,-8.93549999999959,5.29447587000041
88,1bv9,-7200.5399,8520.8331,-13992.7841,-1775.3831,46.7942,-7083.4578,8660.2481,-13900.0348,-1892.2915,48.6204,-215.2686,-139.415,-27.7718,-53.5031,5.4213,-17548.053,-1839.4423,-13992.7841,-1762.6207,46.7942,-17453.988,-1730.9331,-13900.0348,-1871.6405,48.6204,-93.1758,-15.419,-27.7718,-55.4063,5.4213,-13.76024852,5.09629999999925,18.8565485199992
89,1bwa,-7174.3659,8547.7747,-14007.7907,-1761.2327,46.8828,-7048.4119,8687.1978,-13913.7792,-1870.5974,48.7669,-215.5171,-139.4231,-27.7791,-53.7111,5.3962,-17546.4101,-1835.2453,-14007.7907,-1750.257,46.8828,-17446.8336,-1730.8651,-13913.7792,-1850.9561,48.7669,-93.4749,-15.3497,-27.7791,-55.7424,5.3962,-11.88133908,0.532600000000457,12.4139390800005
90,1bwb,-7237.2684,8419.227,-13821.9993,-1881.9153,47.4192,-7047.8763,8671.3649,-13756.1625,-2012.2262,49.1475,-282.5571,-252.138,27.851,-64.4021,6.132,-17486.628,-1840.2991,-13821.9993,-1871.7489,47.4192,-17428.9934,-1728.4067,-13756.1625,-1993.5716,49.1475,-48.3949,-16.2306,27.851,-66.1473,6.132,-11.63265989,-2.49679999999898,9.13585989000102
91,1bxr,-44706.298,40071.1927,-72663.8079,-12287.437,173.7542,-43547.0963,42299.9263,-73299.2839,-12722.5307,174.7919,-1368.0568,-2228.7336,1046.831,-189.4571,3.303,-95274.7849,-10730.7787,-72663.8079,-12053.9524,173.7542,-96246.3451,-10661.2037,-73299.2839,-12460.6495,174.7919,861.7361,-7.1266,1046.831,-181.2712,3.303,-4.69727359,146.406699999992,151.103973589992
93,1bzc,-12419.9112,12892.9349,-21154.82,-4223.9162,65.8901,-12302.1111,12782.4905,-20810.6222,-4340.2635,66.2841,-201.4694,110.4444,-185.3324,-129.826,3.2446,-28254.2252,-3017.5699,-21154.82,-4147.7253,65.8901,-27973.601,-2970.5079,-20810.6222,-4258.7551,66.2841,-310.9797,-3.6562,-185.3324,-125.2357,3.2446,-6.797231195,40.2634999999991,47.0607311949991
94,1bzy,-33824.1924,36885.7774,-62318.408,-8538.1521,146.5903,-33548.189,37115.0766,-62051.6299,-8758.9846,147.349,-330.4307,-229.2991,18.4003,-122.271,2.7391,-79070.6981,-8555.5913,-62318.408,-8343.2891,146.5903,-78963.8698,-8510.5956,-62051.6299,-8548.9932,147.349,-107.5595,-4.2188,18.4003,-124.4801,2.7391,-11.52213581,13.6503999999986,25.1725358099986
95,1c1r,-6728.787,10945.0569,-15481.4512,-2238.2816,45.8889,-6583.9762,11128.433,-15693.392,-2065.4276,46.4104,-161.5658,-183.3761,176.3941,-157.4115,2.8277,-14824.0929,2852.0984,-15481.4512,-2240.629,45.8889,-14818.7657,2894.65,-15693.392,-2066.4341,46.4104,19.6932,-2.7846,176.3941,-156.744,2.8277,-10.54123456,-23.0120000000006,-12.4707654400006
96,1c1u,-10354.3709,9144.1246,-16136.6685,-3422.5378,60.7108,-10206.5348,9354.2015,-16172.9137,-3449.0735,61.251,-167.4318,-210.0769,121.8287,-81.9926,2.809,-18553.9636,900.5139,-16136.6685,-3378.5199,60.7108,-18579.0054,937.7993,-16172.9137,-3405.1419,61.2509,39.9953,-2.3143,121.8287,-82.3281,2.809,-11.39779621,-15.3754000000008,-3.97760379000081
98,1c3x,-28447.0897,30876.7837,-47753.7571,-11716.8414,146.7252,-28251.2517,31166.2296,-47827.3392,-11737.444,147.3017,-197.37,-289.446,116.5506,-26.1488,1.6742,-66364.7287,-7104.07,-47753.7571,-11653.6268,146.7252,-66437.3147,-7075.6435,-47827.3392,-11681.6337,147.3017,91.9547,-1.1311,116.5506,-25.139,1.6742,-5.084107885,-25.7634000000035,-20.6792921150035
99,1c4u,-10246.5339,9539.9664,-16257.3849,-3587.9949,58.8796,-10033.8565,9761.1302,-16250.4646,-3603.8164,59.2943,-226.9781,-221.1639,79.6042,-89.2213,3.8029,-18503.0593,1238.0404,-16257.3849,-3542.5943,58.8796,-18448.3642,1301.3646,-16250.4646,-3558.5585,59.2943,-16.6162,-12.1408,79.6042,-87.8825,3.8029,-14.32668445,-36.8827000000019,-22.5560155500019
100,1c5c,-15242.9709,18816.8406,-30040.2229,-4119.2845,99.6959,-14853.3253,19264.0299,-29980.1793,-4237.6646,100.4887,-396.3468,-447.1893,135.9253,-87.6175,2.5347,-34456.9705,-381.4122,-30040.2229,-4135.0313,99.6959,-34485.7926,-357.5395,-29980.1793,-4248.5626,100.4887,57.5869,7.2891,135.9253,-88.1622,2.5347,-9.615595348,-24.4606000000003,-14.8450046520003
101,1c5n,-10314.2709,9228.2257,-16219.0159,-3384.5456,61.065,-10225.3634,9329.0768,-16208.915,-3407.0315,61.5063,-87.742,-100.8512,67.753,-56.5974,1.9535,-18591.5039,907.1283,-16219.0159,-3340.6812,61.065,-18574.0167,936.1989,-16208.915,-3362.8069,61.5063,12.4377,-1.2701,67.753,-55.9988,1.9535,-6.493289962,-28.9659999999985,-22.4727100379985
102,1c5o,-10253.214,9294.1664,-16166.4804,-3441.5449,60.6449,-10179.9109,9366.77,-16142.9047,-3464.8019,61.0256,-71.1021,-72.6036,57.0396,-57.1052,1.5671,-18600.12,902.962,-16166.4804,-3397.2465,60.6449,-18577.079,924.7888,-16142.9047,-3419.9887,61.0256,1.7753,-0.1939,57.0396,-56.6375,1.5671,-4.821613185,-23.8338999999996,-19.0122868149996
103,1c5p,-6656.7628,11069.3444,-15687.5019,-2084.4214,45.8161,-6581.882,11141.8512,-15738.8742,-2031.0767,46.2177,-71.4593,-72.5068,56.1448,-56.6796,1.5824,-14839.3216,2890.5327,-15687.5019,-2088.1684,45.8161,-14812.4265,2915.7278,-15738.8742,-2035.4978,46.2177,0.9762,-0.4415,56.1448,-56.3095,1.5824,-6.465658941,-28.1751000000008,-21.7094410590008
104,1c5q,-6661.5061,10948.507,-15578.5122,-2077.5609,46.0599,-6569.7772,11064.9792,-15582.8442,-2098.4214,46.5092,-98.0022,-116.4722,31.178,-14.6525,1.9444,-14687.4941,2913.6341,-15578.5122,-2068.676,46.0599,-14695.7594,2946.7143,-15582.8442,-2106.1385,46.5092,17.8196,-1.1459,31.178,-14.1569,1.9444,-8.786664715,-25.6609999999991,-16.8743352849991
105,1c5s,-6688.7144,11058.5134,-15585.4608,-2207.8974,46.1306,-6604.7396,11160.094,-15689.5784,-2121.8054,46.5502,-86.0216,-101.5806,69.0169,-55.2982,1.8403,-14876.2477,2874.3946,-15585.4608,-2211.312,46.1306,-14866.8561,2903.0087,-15689.5784,-2126.8367,46.5502,14.9423,-1.0295,69.0169,-54.8854,1.8403,-8.289306335,-25.5377999999996,-17.2484936649996
106,1c5x,-8293.695,9816.4074,-15772.6053,-2389.9007,52.4037,-8203.8404,9917.36,-15806.3379,-2367.7492,52.8868,-87.7281,-100.9526,67.7969,-56.5209,1.9486,-16041.3348,2056.0979,-15772.6053,-2377.2311,52.4037,-16022.243,2088.0795,-15806.3379,-2356.8714,52.8868,12.3929,-1.2237,67.7969,-56.1288,1.9486,-9.228761053,-32.8843999999999,-23.6556389469999
107,1c5y,-8334.7785,9853.2885,-15831.1983,-2409.3136,52.4449,-8235.4962,9934.251,-15840.7108,-2381.9454,52.9091,-98.7873,-80.9625,40.3577,-59.9931,1.8106,-16162.2179,2012.7782,-15831.1983,-2396.2426,52.4449,-16118.1665,2041.6566,-15840.7108,-2372.0214,52.9091,-17.7828,-1.0,40.3577,-58.9511,1.8106,-5.802514434,-28.3734000000013,-22.5708855660013
109,1c70,-6994.3118,8810.7851,-13802.5692,-2050.516,47.9883,-7069.5106,8644.7789,-13707.9248,-2056.4769,50.1122,-30.5658,166.0062,-5.7733,-195.9162,5.1175,-17641.2887,-1858.0478,-13802.5692,-2028.6599,47.9883,-17428.5767,-1742.5309,-13707.9248,-2028.2332,50.1122,-212.746,-17.7496,-5.7733,-194.3406,5.1175,-14.22997587,7.99729999999909,22.2272758699991
110,1c83,-12535.644,12787.4931,-21215.8775,-4173.7054,66.4458,-12468.6723,12725.0627,-21019.719,-4240.9125,66.8964,-93.8004,62.4303,53.0465,-211.3766,2.0994,-28265.8517,-3000.97,-21215.8775,-4115.45,66.4458,-28090.5728,-2969.7731,-21019.719,-4167.9771,66.8964,-151.0171,1.1742,53.0465,-207.3371,2.0994,-6.700522621,-5.54239999999845,1.15812262100155
111,1c84,-12335.9258,12725.1585,-21071.5215,-4054.8364,65.2736,-12436.1801,12702.2988,-21051.5262,-4152.7398,65.787,7.0503,22.8597,9.6943,-27.7261,2.2224,-27997.3698,-2994.4834,-21071.5215,-3996.6384,65.2736,-28030.9382,-2960.9482,-21051.5262,-4084.2509,65.787,-14.7397,-0.1873,9.6943,-26.469,2.2224,-6.907755279,59.8560999999991,66.7638552789991
112,1c86,-12314.1052,12877.7798,-21212.8139,-4045.0639,65.9929,-12235.9757,12812.991,-20972.0658,-4143.4878,66.5868,-86.8505,64.7888,52.2154,-206.0282,2.1736,-28106.5534,-2967.5211,-21212.8139,-3992.2113,65.9929,-27917.8381,-2934.6777,-20972.0658,-4077.6815,66.5868,-148.7003,-0.4568,52.2154,-202.6324,2.1736,-6.493289962,-23.6655999999984,-17.1723100379985
113,1c87,-12572.8989,12790.4262,-21226.8904,-4202.352,65.9173,-12504.085,12725.1306,-21032.7498,-4262.8163,66.3505,-88.515,65.2956,49.7247,-205.7144,2.1791,-28302.7291,-2989.6217,-21226.8904,-4152.1343,65.9173,-28123.8004,-2957.4063,-21032.7498,-4199.9948,66.3505,-150.015,-0.043,49.7247,-201.8759,2.1791,-5.802514434,-12.4712999999992,-6.66878556599925
114,1c88,-12514.902,12731.0454,-21139.0089,-4172.5274,65.5888,-12440.9451,12689.3048,-20920.646,-4275.7422,66.1383,-93.7653,41.7406,-5.6773,-132.0454,2.2168,-28208.0975,-3018.1842,-21139.0089,-4116.4932,65.5888,-28039.9499,-2981.2504,-20920.646,-4204.1919,66.1383,-132.0235,-0.2439,-5.6773,-128.319,2.2168,-7.308405085,-16.8814999999977,-9.57309491499769
115,1cbx,-10803.1973,13623.2603,-22014.8715,-2470.583,58.9968,-10844.1774,13497.3857,-21847.7249,-2553.3579,59.5196,-11.3158,125.8746,-124.2656,-14.9906,2.0659,-26726.8296,-2327.8328,-22014.8715,-2443.1221,58.9968,-26618.7614,-2299.2784,-21847.7249,-2531.2777,59.5196,-138.9746,-2.8477,-124.2656,-13.9271,2.0659,-8.772849204,26.5892000000003,35.3620492040003
116,1ceb,-3542.631,3222.9758,-5743.0329,-1045.5349,22.9609,-3445.4082,3181.1843,-5482.0907,-1167.7938,23.292,-91.0812,41.7915,-50.0752,-84.608,1.8105,-4775.801,1984.9189,-5743.0329,-1040.6479,22.9609,-4610.3161,2008.6059,-5482.0907,-1160.1232,23.292,-132.5458,-2.6527,-50.0752,-81.6284,1.8105,-8.289306335,-27.1759000000002,-18.8865936650002
117,1cet,-40311.1072,56672.1854,-87743.2243,-9441.9719,201.9036,-40272.4501,56753.1605,-87965.5643,-9261.8547,201.8084,-45.7275,-80.9751,177.3651,-145.2175,3.1,-108674.7695,-11793.0657,-87743.2243,-9340.383,201.9036,-108681.3357,-11755.1588,-87965.5643,-9162.421,201.8084,31.2949,-4.7506,177.3651,-144.4196,3.1,-3.992682551,-26.0858999999982,-22.0932174489982
118,1cgl,-6611.7097,6809.466,-9777.9765,-3687.2623,44.0631,-6700.5276,6378.5716,-9115.3904,-4008.1036,44.3948,-15.0838,430.8944,-326.2858,-124.5836,4.8912,-14931.0055,-1568.3222,-9777.9765,-3628.7699,44.0631,-14505.2929,-1480.2396,-9115.3904,-3954.0577,44.3948,-463.9702,-20.1755,-326.2858,-122.4001,4.8912,-9.491255753,35.9946,45.485855753
120,1ciz,-5741.2076,7634.163,-9986.0834,-3432.1046,42.8175,-5787.9209,7482.8805,-10077.7887,-3236.8887,43.876,-163.0744,151.2825,-222.0665,-96.346,4.0556,-14933.5756,-1629.1512,-9986.0834,-3361.1585,42.8175,-14773.4364,-1552.2725,-10077.7887,-3187.2511,43.876,-319.6876,-5.629,-222.0665,-96.0477,4.0556,-10.27873986,138.538,148.81673986
121,1cnw,-9351.9609,13010.7133,-19602.254,-2818.3051,57.8849,-9221.5913,12864.8589,-19383.7983,-2760.4727,57.8208,-178.2987,145.8544,-204.3512,-123.3532,3.5514,-24796.2333,-2484.8964,-19602.254,-2766.9677,57.8849,-24486.4086,-2448.23,-19383.7983,-2712.2011,57.8208,-322.9814,-2.7332,-204.3512,-119.4483,3.5514,-10.66557415,13.9958999999999,24.6614741499999
122,1cnx,-9387.7104,12874.4015,-19534.3826,-2785.4073,57.678,-9260.7253,12856.8336,-19406.6877,-2768.9509,58.0796,-175.3861,17.5679,-91.8671,-104.2892,3.2024,-24695.2515,-2484.8712,-19534.3826,-2733.6758,57.678,-24515.9901,-2446.8813,-19406.6877,-2720.5007,58.0796,-191.5231,-2.0446,-91.8671,-100.8137,3.2024,-10.18203128,12.4557000000004,22.6377312800004
123,1cny,-9371.5469,12982.1763,-19550.3219,-2862.4675,59.0663,-9235.2164,12842.1737,-19323.7532,-2811.8709,58.234,-181.8977,140.0026,-218.897,-107.3642,4.3609,-24787.2468,-2480.5669,-19550.3219,-2815.4242,59.0663,-24472.6565,-2439.6609,-19323.7532,-2767.4765,58.234,-324.4686,-5.4954,-218.897,-104.4371,4.3609,-10.84517579,10.1566000000003,21.0017757900003
124,1cps,-10965.3635,13359.9393,-21861.0264,-2523.7251,59.4488,-10839.1583,13398.3052,-21681.4084,-2616.2398,60.1847,-254.5988,-38.3659,-108.0388,-110.5375,2.3433,-27348.0139,-3090.226,-21861.0264,-2456.2102,59.4488,-27254.2047,-3055.2707,-21681.4084,-2577.7103,60.1847,-218.5275,-3.0947,-108.0388,-109.7374,2.3433,-9.201130032,96.5329999999995,105.734130031999
126,1ctt,-20221.4724,27178.2008,-42550.6157,-4945.7054,96.6479,-20164.9768,27196.7694,-42476.6453,-4982.2379,97.137,-87.0669,-18.5686,-40.583,-29.9463,2.031,-53089.5092,-5728.7123,-42550.6157,-4906.8292,96.6479,-53006.2255,-5685.2594,-42476.6453,-4941.4578,97.137,-72.1493,-2.2403,-40.583,-31.357,2.031,-6.244610772,-10.6412999999993,-4.39668922799932
127,1ctu,-20236.4479,27041.7752,-42512.4364,-4863.9564,98.1697,-20119.9307,27163.9385,-42478.2934,-4904.2201,98.6443,-129.4988,-122.1633,29.6179,-39.0422,2.0888,-52947.9045,-5705.6513,-42512.4364,-4827.9865,98.1697,-52907.5846,-5664.3552,-42478.2934,-4863.5803,98.6443,-11.945,-2.3671,29.6179,-41.2847,2.0888,-16.46808859,-25.9473999999973,-9.47931140999729
128,1d09,-110838.2274,111699.4811,-194214.4805,-28838.1104,514.8823,-110621.1068,112126.2544,-194223.1612,-29039.5072,515.3071,-373.3358,-426.7733,111.1814,-59.7961,2.0521,-248177.9291,-26795.3382,-194214.4805,-27682.9927,514.8823,-248252.3767,-26767.3645,-194223.1612,-27777.1581,515.3071,52.6444,-2.8581,111.1814,-57.731,2.0521,-10.45834149,131.099600000016,141.557941490016
129,1d2e,-62407.7787,66321.1166,-106101.402,-22966.8287,339.3354,-61695.1753,67455.8788,-106501.8875,-22989.0227,339.8562,-738.7141,-1134.7621,481.0688,-88.0673,3.0465,-143188.3081,-14749.5968,-106101.402,-22676.6446,339.3354,-143576.4577,-14708.5065,-106501.8875,-22705.9198,339.8562,385.8831,-6.3436,481.0688,-91.8886,3.0465,-8.289306335,-8.63599999998405,-0.346693664984052
130,1d3d,-12452.1939,11679.412,-20457.9537,-3738.4214,64.7692,-12482.2277,11662.4694,-20399.9311,-3810.6469,65.8809,-3.2999,16.9426,117.5327,-142.3687,4.5934,-24565.2821,-481.435,-20457.9537,-3690.6626,64.7692,-24500.3837,-400.1832,-20399.9311,-3766.1503,65.8809,-29.7185,-9.2982,117.5327,-142.5465,4.5934,-12.5582991,-38.6199000000015,-26.0616009000015
131,1d3p,-12481.9467,11670.3297,-20477.4628,-3739.6966,64.883,-12487.6452,11638.5303,-20396.3411,-3795.9005,66.0662,-33.0814,31.7994,74.6125,-144.1766,4.6833,-23800.0101,301.4119,-20477.4628,-3688.8422,64.883,-23698.3258,382.0604,-20396.3411,-3750.1112,66.0662,-72.4221,-8.0017,74.6125,-143.7162,4.6833,-10.2096623,-33.8669000000009,-23.6572377000009
